Question,Option A,Option B,Categories,Work Safe,Mature,Shape,Why It Works
Is a hot dog a sandwich?,Yes,No,Food & Drink; Debate,TRUE,FALSE,TASTE,"Unresolvable classic, splits any room"
Is cereal a type of soup?,Yes,No,Food & Drink; Humor,TRUE,FALSE,TASTE,"Absurd framing, real disagreement"
Is ketchup acceptable on eggs?,Yes,No,Food & Drink; Taste,TRUE,FALSE,TASTE,Tribal food divide
Is pineapple on pizza good?,Yes,No,Food & Drink; Taste,TRUE,FALSE,TASTE,The definitive split (kept from original)
Is a burrito just a wrapped sandwich?,Yes,No,Food & Drink; Debate,TRUE,FALSE,TASTE,Category-war fun
Is water wet?,Yes,No,Science; Debate,TRUE,FALSE,TASTE,Pedantic split people defend hard
Is it 'the GIF' with a hard G?,Hard G,Soft G,Technology; Debate,TRUE,FALSE,TASTE,Petty but genuinely 50/50
Are subtitles better than dubbing?,Yes,No,Entertainment; Media,TRUE,FALSE,TASTE,Kept — real preference split
Is a window seat better than an aisle seat?,Window,Aisle,Travel; Preferences,TRUE,FALSE,TASTE,Kept — classic flyer divide
Is tea better than coffee?,Tea,Coffee,Food & Drink; Culture,TRUE,FALSE,TASTE,Kept — cultural split
Is binge-watching better than one episode a week?,Binge,Weekly,Entertainment; Habits,TRUE,FALSE,TASTE,Kept — viewing-style tribes
Is camping better than a hotel?,Camping,Hotel,Travel; Lifestyle,TRUE,FALSE,TASTE,Kept — outdoorsy divide
Is renting better than owning a home?,Rent,Own,Work & Money; Housing,TRUE,FALSE,TASTE,Kept — money-worldview split
Is Die Hard a Christmas movie?,Yes,No,Entertainment; Debate,TRUE,FALSE,TASTE,Annual internet war
Should you put milk in the cup before the tea?,Milk first,Tea first,Food & Drink; Culture,TRUE,FALSE,TASTE,Fierce cultural micro-debate
Is a straw one hole or two?,One,Two,Humor; Debate,TRUE,FALSE,TASTE,"Breaks brains, splits evenly"
Is candy corn actually good?,Yes,No,Food & Drink; Taste,TRUE,FALSE,TASTE,Love-it-or-hate-it
Is the movie usually better than the book?,Movie,Book,Entertainment; Media,TRUE,FALSE,TASTE,Contrarian split
Is autumn the best season?,Yes,No,Lifestyle; Taste,TRUE,FALSE,TASTE,Seasonal loyalty divide
Is it fine to wear socks with sandals?,Yes,No,Style; Debate,TRUE,FALSE,TASTE,Fashion flashpoint
Have you ever pretended to be busy to avoid someone?,Yes,No,Social; Confession,TRUE,FALSE,CONFESS,"Feels private, is near-universal"
Do you talk to yourself when you're alone?,Yes,No,Psychology; Confession,TRUE,FALSE,CONFESS,Am I the only one?' payoff
Do you re-read your own texts after sending them?,Yes,No,Social; Confession,TRUE,FALSE,CONFESS,"Quietly common, feels solitary"
Have you cried at a movie or ad in the last year?,Yes,No,Emotion; Confession,TRUE,FALSE,CONFESS,Split surprises people by group
Would you eat food you dropped on your own kitchen floor?,Yes,No,Food & Drink; Confession,TRUE,FALSE,CONFESS,Five-second-rule honesty test
Do you check the back seat of your car at night?,Yes,No,Psychology; Confession,TRUE,FALSE,CONFESS,"Splits sharply, often by gender"
Have you ever practiced a conversation in the shower?,Yes,No,Psychology; Confession,TRUE,FALSE,CONFESS,Secretly widespread
Do you sometimes read texts and forget to reply for days?,Yes,No,Social; Confession,TRUE,FALSE,CONFESS,Guilty near-majority
Have you ever lied about having read a famous book?,Yes,No,Culture; Confession,TRUE,FALSE,CONFESS,Low-stakes shame reveal
Do you sing in the car when alone?,Yes,No,Music; Confession,TRUE,FALSE,CONFESS,"Feels private, isn't"
Have you googled your own name in the last month?,Yes,No,Technology; Confession,TRUE,FALSE,CONFESS,Vanity people underclaim
Do you keep tabs open you'll never read again?,Yes,No,Technology; Habits,TRUE,FALSE,CONFESS,Digital-clutter reveal
Have you ever left a group chat on mute for weeks?,Yes,No,Social; Confession,TRUE,FALSE,CONFESS,Common but rarely admitted
Do you eat in bed?,Yes,No,Home; Confession,TRUE,FALSE,CONFESS,Habit split people judge
Have you ever ghosted a conversation mid-thread?,Yes,No,Social; Confession,TRUE,FALSE,CONFESS,"Grey behavior, real split"
Do you snoop in people's bathroom cabinets?,Yes,No,Social; Confession,TRUE,FALSE,CONFESS,Guilty-secret intrigue
Have you ever faked a laugh to be polite this week?,Yes,No,Social; Confession,TRUE,FALSE,CONFESS,Recent-behavior honesty
Do you save screenshots you never look at again?,Yes,No,Technology; Habits,TRUE,FALSE,CONFESS,Universal-feeling habit
Have you ever pretended to know a song you didn't?,Yes,No,Music; Confession,TRUE,FALSE,CONFESS,Social-fitting-in reveal
Do you replay awkward memories from years ago?,Yes,No,Psychology; Confession,TRUE,FALSE,CONFESS,"Feels lonely, is common"
Have you ever taken a nap to avoid dealing with something?,Yes,No,Psychology; Confession,TRUE,FALSE,CONFESS,Relatable avoidance
Do you check your phone within a minute of waking up?,Yes,No,Technology; Habits,TRUE,FALSE,CONFESS,People underestimate the majority
Have you ever regifted a present?,Yes,No,Social; Confession,TRUE,FALSE,CONFESS,"Quiet, common, judged"
Do you talk to pets like they understand you?,Yes,No,Lifestyle; Confession,TRUE,FALSE,CONFESS,"Widespread, feels silly to admit"
Do you think you're an above-average driver?,Yes,No,Psychology; Self,TRUE,FALSE,MIRROR,Everyone says yes — the killer reveal
Are you a better listener than most people you know?,Yes,No,Relationships; Self,TRUE,FALSE,MIRROR,Self-flattery gap
Do you have better taste than average?,Yes,No,Culture; Self,TRUE,FALSE,MIRROR,Almost everyone overclaims
Are you funnier than the average person?,Yes,No,Humor; Self,TRUE,FALSE,MIRROR,Overconfidence reveal
Do you think you'd stay calm in a real emergency?,Yes,No,Psychology; Self,TRUE,FALSE,MIRROR,Untested self-belief
Are you a good judge of character?,Yes,No,Psychology; Self,TRUE,FALSE,MIRROR,Near-universal 'yes'
Do you think you're more honest than most people?,Yes,No,Ethics; Self,TRUE,FALSE,MIRROR,Everyone rates themselves high
Could you spot a scam better than most people?,Yes,No,Technology; Self,TRUE,FALSE,MIRROR,The overconfident get scammed
Do you think you'd be good in a crisis at work?,Yes,No,Work & Money; Self,TRUE,FALSE,MIRROR,Self-image vs reality
Are you better than average at reading people's emotions?,Yes,No,Psychology; Self,TRUE,FALSE,MIRROR,Overclaimed empathy
Do you think you're less addicted to your phone than most?,Yes,No,Technology; Self,TRUE,FALSE,MIRROR,Everyone thinks they're the exception
Would your friends describe you the way you describe yourself?,Yes,No,Relationships; Self,TRUE,FALSE,MIRROR,Self-awareness gut check
Do you think you'd survive a month in the wilderness?,Yes,No,Adventure; Self,TRUE,FALSE,MIRROR,Fun overconfidence split
Are you better at your job than your coworkers think?,Yes,No,Work & Money; Self,TRUE,FALSE,MIRROR,Ego vs perception
Do you think you handle criticism well?,Yes,No,Psychology; Self,TRUE,FALSE,MIRROR,Almost nobody thinks they don't
Are you more patient than the average person?,Yes,No,Psychology; Self,TRUE,FALSE,MIRROR,Overclaimed trait
Do you think you could tell cheap wine from expensive?,Yes,No,Food & Drink; Self,TRUE,FALSE,MIRROR,Confidence vs blind-test reality
Would you tell a friend if their partner was cheating?,Yes,No,Ethics; Relationships,TRUE,FALSE,GREY,"No right answer, splits hard"
Would you read your partner's phone if you'd never get caught?,Yes,No,Ethics; Trust,TRUE,FALSE,GREY,Grey + confession
Would you return extra change a cashier gave you by mistake?,Yes,No,Ethics; Money,TRUE,FALSE,GREY,Honesty vs self-interest
Is it ever okay to ghost someone you've dated?,Yes,No,Social; Ethics,TRUE,FALSE,GREY,Splits sharply by age
Would you keep a wallet full of cash with no ID?,Keep,Hand in,Ethics; Money,TRUE,FALSE,GREY,Real temptation test
Is it okay to lie about liking a gift?,Yes,No,Social; Ethics,TRUE,FALSE,GREY,White-lie divide
Would you report a friend for cheating on taxes?,Yes,No,Ethics; Money,TRUE,FALSE,GREY,Loyalty vs law
Is it okay to recline your seat on a short flight?,Yes,No,Travel; Etiquette,TRUE,FALSE,GREY,Genuinely divisive
Would you take credit for a group's work if no one objected?,Yes,No,Work & Money; Ethics,TRUE,FALSE,GREY,Quiet-ambition reveal
Is it okay to break a small promise for a better offer?,Yes,No,Ethics; Social,TRUE,FALSE,GREY,Flakiness ethics
Would you tell a white lie to get out of a social event?,Yes,No,Social; Ethics,TRUE,FALSE,GREY,Near-universal but admitted-by-half
Is it wrong to peek at someone's phone notification on a table?,Yes,No,Social; Ethics,TRUE,FALSE,GREY,Everyday temptation
Would you accept a refund the store gave you by mistake?,Keep it,Return it,Ethics; Money,TRUE,FALSE,GREY,Low-stakes honesty test
Is it okay to unfollow a friend who posts too much?,Yes,No,Social; Etiquette,TRUE,FALSE,GREY,Digital-boundary split
Would you tell someone they have food in their teeth?,Yes,No,Social; Etiquette,TRUE,FALSE,GREY,Awkwardness threshold
Is it okay to date a friend's ex?,Yes,No,Relationships; Ethics,TRUE,FALSE,GREY,Loyalty code divide
Would you snitch to save yourself from blame at work?,Yes,No,Work & Money; Ethics,TRUE,FALSE,GREY,Self-preservation vs loyalty
Is it okay to check a partner's location without telling them?,Yes,No,Relationships; Trust,TRUE,FALSE,GREY,Modern-trust flashpoint
Would you keep quiet if undercharged at a restaurant?,Yes,No,Ethics; Money,TRUE,FALSE,GREY,Passive-honesty test
Is it okay to leave a bad review over one small thing?,Yes,No,Consumer; Ethics,TRUE,FALSE,GREY,Power-of-the-review divide
Would you tell your boss a coworker is job hunting?,Yes,No,Work & Money; Ethics,TRUE,FALSE,GREY,Loyalty split
Is it okay to fake enthusiasm at your own surprise party?,Yes,No,Social; Ethics,TRUE,FALSE,GREY,Kindness-vs-honesty
Would you want to know the exact date you'll die?,Yes,No,Deep; Values,TRUE,FALSE,TRADE,Flagship intrigue question
Would you rather be famous than rich?,Famous,Rich,Values; Deep,TRUE,FALSE,TRADE,Forces a revealing side
Would you rather be feared than loved?,Feared,Loved,Values; Deep,TRUE,FALSE,TRADE,Classic character split
Would you give up your sense of taste to keep your phone forever?,Yes,No,Technology; Values,TRUE,FALSE,TRADE,"Real trade-off, surprising split"
Would you rather relive your best day or erase your worst?,Relive best,Erase worst,Deep; Psychology,TRUE,FALSE,TRADE,Optimist vs regret split
Would you take $1M to never use the internet again?,Yes,No,Technology; Money,TRUE,FALSE,TRADE,Value-of-connection reveal
Would you want to read minds if you couldn't turn it off?,Yes,No,Deep; Psychology,TRUE,FALSE,TRADE,Curiosity vs peace
Would you rather always be 10 minutes early or never rushed?,Early,Never rushed,Lifestyle; Values,TRUE,FALSE,TRADE,Time-personality split
Would you rather have more time or more money?,Time,Money,Values; Lifestyle,TRUE,FALSE,TRADE,Life-stage divide
Would you accept a boring job you love the life around?,Yes,No,Work & Money; Values,TRUE,FALSE,TRADE,Meaning-vs-comfort split
Would you rather be the smartest or the kindest in the room?,Smartest,Kindest,Values; Deep,TRUE,FALSE,TRADE,Self-image reveal
Would you erase one embarrassing memory if you could?,Yes,No,Psychology; Deep,TRUE,FALSE,TRADE,Growth-vs-relief split
Would you want to live to 150 if you stayed healthy?,Yes,No,Health & Wellness; Deep,TRUE,FALSE,TRADE,Longevity intrigue
Would you rather never feel bored or never feel stressed?,Never bored,Never stressed,Psychology; Values,TRUE,FALSE,TRADE,Temperament split
Would you trade 10 years of life for perfect health in the rest?,Yes,No,Health & Wellness; Deep,TRUE,FALSE,TRADE,Quality-vs-quantity
Would you rather know all of history or all of the future?,Past,Future,Deep; Knowledge,TRUE,FALSE,TRADE,Curiosity-type split
Would you rather be great at one thing or good at many?,One thing,Many things,Values; Career,TRUE,FALSE,TRADE,Specialist vs generalist
Would you rather your kids be happy or successful?,Happy,Successful,Values; Family,TRUE,FALSE,TRADE,Reveals what people say vs mean
Would you rather work your dream job for low pay or a dull job for high pay?,Dream job,High pay,Work & Money; Values,TRUE,FALSE,TRADE,Core money-values split
Would you rather lose all your photos or all your messages?,Photos,Messages,Technology; Deep,TRUE,FALSE,TRADE,What you truly value
Would you rather be underestimated or overestimated?,Underestimated,Overestimated,Psychology; Values,TRUE,FALSE,TRADE,Strategy vs ego
Would you rather have a rewind button or a pause button for life?,Rewind,Pause,Deep; Fun,TRUE,FALSE,TRADE,Regret vs rest split
"Would you rather always know when someone is lying, or always get away with lying?",Detect lies,Get away with lying,Ethics; Deep,TRUE,FALSE,TRADE,Values reveal
Would you take a pill that removed your need for sleep?,Yes,No,Health & Wellness; Deep,TRUE,FALSE,TRADE,Productivity vs rest split
Is it rude to leave someone on read?,Yes,No,Social; Etiquette,TRUE,FALSE,NORM,Kept — generational split
Is it okay to leave a party without saying goodbye?,Yes,No,Social; Etiquette,TRUE,FALSE,NORM,Kept — Irish-goodbye divide
Is it rude to cancel plans by text?,Yes,No,Social; Etiquette,TRUE,FALSE,NORM,Kept — norm in flux
Should you take your shoes off in someone's home?,Yes,No,Home; Culture,TRUE,FALSE,NORM,"Household-rule split, very portable"
Is it okay to text 'we need to talk' with no context?,Yes,No,Relationships; Etiquette,TRUE,FALSE,NORM,"Anxiety-inducing, divisive"
Do you answer calls from unknown numbers?,Yes,No,Technology; Habits,TRUE,FALSE,NORM,Sharp generational split
Is being 15 minutes late to a casual hangout fine?,Yes,No,Social; Etiquette,TRUE,FALSE,NORM,Punctuality tribes
Should the last slice be offered before you take it?,Yes,No,Food & Drink; Etiquette,TRUE,FALSE,NORM,Everyday courtesy split
Is it okay to put your bare feet up on a train seat area?,Yes,No,Travel; Etiquette,TRUE,FALSE,NORM,Public-space divide
Should you tip for takeout you pick up yourself?,Yes,No,Money; Etiquette,TRUE,FALSE,NORM,Tipping-creep flashpoint
Is it rude to wear headphones during a checkout chat?,Yes,No,Social; Etiquette,TRUE,FALSE,NORM,Modern-manners split
Should you always reply to a party invite even if it's no?,Yes,No,Social; Etiquette,TRUE,FALSE,NORM,RSVP-guilt divide
Is it okay to bring a plus-one who wasn't invited?,Yes,No,Social; Etiquette,TRUE,FALSE,NORM,Etiquette flashpoint
Should you stand on the right and walk on the left on escalators?,Yes,No,Cities; Etiquette,TRUE,FALSE,NORM,"Regional norm, portable"
Is it acceptable to double-dip at a shared snack?,Yes,No,Food & Drink; Etiquette,TRUE,FALSE,NORM,Germ-etiquette divide
Should you always let people exit before you board?,Yes,No,Cities; Etiquette,TRUE,FALSE,NORM,Civility split (they don't all)
Is it okay to save seats for late friends at an event?,Yes,No,Social; Etiquette,TRUE,FALSE,NORM,Fairness flashpoint
Should you mute yourself by default on video calls?,Yes,No,Work & Money; Etiquette,TRUE,FALSE,NORM,New-normal etiquette
Is it rude to take a phone call on speaker in public?,Yes,No,Cities; Etiquette,TRUE,FALSE,NORM,Public-space divide
Should you warn people before sending a voice message?,Yes,No,Technology; Etiquette,TRUE,FALSE,NORM,Voice-note war
Do you make your bed every morning?,Yes,No,Habits; Lifestyle,TRUE,FALSE,HABIT,Tidy-vs-not tribes
Is 'over' the correct way to hang toilet paper?,Over,Under,Home; Debate,TRUE,FALSE,HABIT,Irrationally heated
Do you shower at night rather than in the morning?,Night,Morning,Habits; Lifestyle,TRUE,FALSE,HABIT,Surprisingly even split
Do you keep your phone on silent all the time?,Yes,No,Technology; Habits,TRUE,FALSE,HABIT,Notification-personality divide
Do you sleep with a foot outside the blanket?,Yes,No,Lifestyle; Confession,TRUE,FALSE,HABIT,"Oddly universal, feels personal"
Do you fold laundry right away or live out of the basket?,Fold,Basket,Home; Habits,TRUE,FALSE,HABIT,Domestic honesty
Do you eat the crust of your pizza?,Yes,No,Food & Drink; Habits,TRUE,FALSE,HABIT,Small but real split
Do you use a to-do list every day?,Yes,No,Productivity; Habits,TRUE,FALSE,HABIT,Organizer tribes
Do you leave read receipts on?,Yes,No,Technology; Habits,TRUE,FALSE,HABIT,Reveals social strategy
Do you keep the TV or a sound on to fall asleep?,Yes,No,Health & Wellness; Habits,TRUE,FALSE,HABIT,Sleep-style split
Do you plan trips in detail or wing it?,Plan,Wing it,Travel; Habits,TRUE,FALSE,HABIT,Planner vs improviser
Do you read the reviews before buying almost everything?,Yes,No,Consumer; Habits,TRUE,FALSE,HABIT,Decision-style split
Do you keep old clothes 'just in case'?,Yes,No,Home; Habits,TRUE,FALSE,HABIT,Keeper vs purger
Do you charge your phone overnight every night?,Yes,No,Technology; Habits,TRUE,FALSE,HABIT,Everyday routine split
Do you drink coffee before doing anything else in the morning?,Yes,No,Food & Drink; Habits,TRUE,FALSE,HABIT,Ritual reveal
Do you walk faster than most people around you?,Yes,No,Cities; Self,TRUE,FALSE,HABIT,Pace-personality (over-claimed)
